symbol	p_e_ratio	peg_ratio	earnings_per_share	ebitda	eps_estimate_current_year	eps_estimate_next_quarter	fifty_day_moving_average	fifty_two_week_high	fifty_two_week_low	percent_change_from_200_day_moving_average	percent_change_from_50_day_moving_average	shares_owned	short_ratio	two_hundred_day_moving_average	volume	market_cap	price_to_sales_ttm	price_to_book_mrq	roa_ttm	roe_ttm	shares_outstanding	pcnt_held_by_insiders	pcnt_held_by_institutions	pcnt_short_of_float	operating_cash_flow_ttm	levered_cash_flow_ttm	book_value_per_share_mrq	next_earnings_announcement_date	sector	industry	company_name
AAPC	-999	0.0	-0.16	0.0	-999	0.0	10.37	10.6	9.98	0.0116	0.0025	-999	0.45	10.28	1679.0	108030000.0	-999	7.14	-999	-999	10390000.0	0.26	0.55	0.0033	-457460.0	-999	1.46	-999	Conglomerates	Conglomerates	Atlantic Alliance Partnership Corp.
AGFS	-999	0.0	-0.7	46040000.0	0.17	0.0	5.47	13.21	4.21	-0.050300000000000004	-0.0199	-999	11.56	5.64	81127.0	268470000.0	1.71	0.65	0.024700000000000003	-0.26539999999999997	49900000.0	0.4989	0.27	0.046	42960000.0	15170000.0	8.37	[#<Date: 2016-08-16 ((2457617j,0s,0n),+0s,2299161j)>, #<Date: 2016-08-22 ((2457623j,0s,0n),+0s,2299161j)>]	Conglomerates	Conglomerates	AgroFresh Solutions, Inc.
ANDA	-999	0.0	-0.14	0.0	-999	0.0	9.7	9.78	9.4	0.0070999999999999995	-0.003	-999	4.19	9.6	0.0	51350000.0	-999	3.39	-999	-999	5310000.0	-999	-999	0.0015	0.0	-999	2.86	-999	Conglomerates	Conglomerates	Andina Acquisition Corp. II
AUMA	-999	0.0	-0.11	0.0	-999	0.0	9.87	10.05	8.75	0.0098	0.0027	-999	0.15	9.8	0.0	297000000.0	-999	13.94	-999	-999	30000000.0	0.37829999999999997	0.368	0.0003	-950580.0	-999	0.71	-999	Conglomerates	Conglomerates	AR Capital Acquisition Corp.
BLVD	-999	0.0	-0.04	0.0	-999	0.0	9.6878	12.0	9.4	-0.000473	-0.003909	-999	0.27	9.6545	0.0	105280000.0	-999	21.07	-999	-999	1660000.0	-999	-999	-999	-471010.0	-999	0.46	-999	Conglomerates	Conglomerates	Boulevard Acquisition Corp. II
CNLM	-999	0.0	0.01	488000.0	-999	0.0	10.14	11.0	9.25	0.0172	0.0055000000000000005	-999	0.0	10.03	0.0	19010000.0	0.77	3.8	-999	-999	1860000.0	-999	-999	-999	-291080.0	-999	2.68	-999	Conglomerates	Conglomerates	CB Pharma Acquisition Corp.
CODI	5.8345	0.0	2.765	116300000.0	1.3	0.0	15.9106	17.25	9.7	0.045521000000000006	0.013947000000000001	-999	4.25	15.4301	67622.0	878570000.0	1.06	1.11	0.0255	0.0191	54300000.0	0.1671	0.379	0.009399999999999999	87290000.0	115520000.0	14.62	[#<Date: 2016-08-03 ((2457604j,0s,0n),+0s,2299161j)>, #<Date: 2016-08-08 ((2457609j,0s,0n),+0s,2299161j)>]	Conglomerates	Conglomerates	Compass Diversified Holdings
EAGL	-999	0.0	-0.3	0.0	1.59	0.0	9.68	10.5	9.5	0.0072	0.006	-999	0.02	9.67	0.0	144870000.0	-999	28.9	-999	-999	2360000.0	0.2	0.289	-999	14320.0	-999	0.34	-999	Conglomerates	Conglomerates	Double Eagle Acquisition Corp.
FNTC	-999	0.0	-0.07	0.0	-999	0.0	9.99	11.0	9.51	0.0125	-0.0003	-999	3.23	9.87	5100.0	47280000.0	-999	9.41	-999	-999	4730000.0	0.0779	0.13	0.0003	-350170.0	-999	1.06	-999	Conglomerates	Conglomerates	FinTech Acquisition Corp.
HCAC	-999	0.0	-0.07	0.0	-999	0.0	9.83	9.9	9.5	0.010700000000000001	0.0001	-999	0.0	9.73	200.0	245260000.0	-999	12.27	-999	-999	24950000.0	-999	-999	-999	-267000.0	-999	0.8	-999	Conglomerates	Conglomerates	Hennessy Capital Acquisition Corp. II
HDRA	-999	0.0	-1.247	0.0	-999	0.0	9.8767	10.0	9.62	0.008238	0.000343	-999	0.01	9.7994	0.0	30070000.0	-999	6.01	-999	-999	3040000.0	0.198	0.379	0.0001	-847450.0	-999	1.65	-999	Conglomerates	Conglomerates	Hydra Industries Acquisition Corp.
HRG	-999	0.0	-1.45	901700000.0	0.78	0.0	13.92	14.73	10.29	0.0463	-0.0248	-999	6.23	12.97	287757.0	2680000000.0	0.45	5.89	0.0124	-0.054299999999999994	196410000.0	0.12890000000000001	0.8	0.0508	537200000.0	-2210000000.0	2.34	[#<Date: 2016-08-04 ((2457605j,0s,0n),+0s,2299161j)>, #<Date: 2016-08-08 ((2457609j,0s,0n),+0s,2299161j)>]	Conglomerates	Conglomerates	HRG Group, Inc.
HRMN	-999	0.0	-0.09	0.0	-999	0.0	9.92	10.2	9.69	0.008	0.005	-999	1.1	9.89	400.0	44850000.0	-999	8.56	-999	-999	4500000.0	-999	-999	0.0001	-555890.0	-999	1.16	-999	Conglomerates	Conglomerates	Harmony Merger Corp.
IEP	-999	0.0	-16.75	-704000000.0	-2.85	0.0	56.82	89.17	42.5	-0.0766	-0.029300000000000003	-999	3.4	59.73	58075.0	7390000000.0	0.56	2.69	-0.028399999999999998	-0.39149999999999996	134990000.0	0.9046	0.071	0.026099999999999998	1510000000.0	-3080000000.0	21.2	[#<Date: 2016-08-04 ((2457605j,0s,0n),+0s,2299161j)>, #<Date: 2016-08-08 ((2457609j,0s,0n),+0s,2299161j)>]	Conglomerates	Conglomerates	Icahn Enterprises, L.P.
PICO	-999	0.0	-3.12	-2840000.0	-1.45	0.0	9.43	16.12	7.82	-0.057300000000000004	-0.045899999999999996	-999	9.44	9.55	25797.0	208030000.0	0.67	0.61	-0.0044	-0.0592	23040000.0	0.0767	0.9390000000000001	0.047599999999999996	-47810000.0	-250250.0	14.76	[#<Date: 2016-08-08 ((2457609j,0s,0n),+0s,2299161j)>, #<Date: 2016-08-12 ((2457613j,0s,0n),+0s,2299161j)>]	Conglomerates	Conglomerates	PICO Holdings Inc.
REX	13.59	0.0	4.34	49490000.0	4.59	0.0	55.38	66.17	43.5	0.1057	0.0653	-999	11.94	53.36	41874.0	387730000.0	0.91	1.26	0.0447	0.0969	6560000.0	0.1839	0.092	0.2006	29220000.0	9200000.0	47.21	[#<Date: 2016-08-25 ((2457626j,0s,0n),+0s,2299161j)>, #<Date: 2016-08-29 ((2457630j,0s,0n),+0s,2299161j)>]	Conglomerates	Conglomerates	REX American Resources Corporation
SEB	17.21	0.0	164.02	224000000.0	185.08	0.0	2959.14	3675.0	2427.01	-0.0326	-0.046	-999	22.36	2918.26	257.0	3310000000.0	0.62	1.16	0.0207	0.06849999999999999	1170000.0	0.7756000000000001	0.182	0.0218	410000000.0	188960000.0	2481.74	[#<Date: 2016-08-09 ((2457610j,0s,0n),+0s,2299161j)>, #<Date: 2016-08-15 ((2457616j,0s,0n),+0s,2299161j)>]	Conglomerates	Conglomerates	Seaboard Corp.
SPLP	6.41	0.0	2.22	134150000.0	-999	0.0	14.72	17.96	12.86	-0.0424	-0.0334	-999	0.38	14.86	300.0	378980000.0	0.37	0.67	0.0313	0.07	26630000.0	0.23129999999999998	0.183	0.0002	-67050000.0	-30280000.0	21.25	[#<Date: 2016-08-04 ((2457605j,0s,0n),+0s,2299161j)>, #<Date: 2016-08-08 ((2457609j,0s,0n),+0s,2299161j)>]	Conglomerates	Conglomerates	Steel Partners Holdings L.P
TFSC	-999	0.0	-0.32	58090000.0	-999	0.0	9.91	10.0	9.6	0.0079	0.0042	-999	0.0	9.87	802.0	59180000.0	0.15	3.78	-999	-999	5950000.0	0.2132	0.349	-999	-194370.0	-999	2.64	-999	Conglomerates	Conglomerates	1347 Capital Corp.
TRTL	-999	0.0	-0.08	0.0	-999	0.0	9.93	10.21	9.8	0.011000000000000001	0.0069	-999	0.04	9.89	3900.0	65379999.99999999	-999	13.01	-0.0005	-0.10460000000000001	1220000.0	-999	-999	0.0	-472850.0	-62410.0	0.77	-999	Conglomerates	Conglomerates	Terrapin 3 Acquisition Corporation
